id_pilar,coord_x,coord_y,coord_z,pillar_area,geom_sing,geol_units_count,soft_veins_freq,traction_resist,strain_modulus,main_faults_count,xy_shear_strain,xz_shear_strain,yz_shear_strain,z_axis_pm_stress,z_axis_tz_stress,tz_exposure,seismic_density,extraction_rate,avg_drawpoint_height,collapse_flag
37,162.07586224683155,1206.4560280920464,1263,286.5643,0,2,0.67,0.289,16.6,1,0.00011179905502705361,5.831854669454009e-05,2.9987444863502213e-05,8.367423,34.41824251057958,2.6666666666666665,116.43760262019343,122.459,264,1
38,175.93344323003032,1238.206262424947,1263,286.5643,0,1,3.07,0.184,13.13,0,8.839416662650602e-05,6.536038289156626e-05,3.258571126506024e-05,8.979154,36.15235627488831,3.3333333333333335,94.41359813089637,124.293,264,0
39,189.79102421322904,1269.9564967578474,1263,286.5643,0,1,3.07,0.184,13.13,0,6.371179542168674e-05,7.49520743373494e-05,1.5674782319277108e-05,9.543391,38.44315375751299,3.3333333333333335,84.91361650842381,125.026,264,0
40,203.6486051964278,1301.706731090748,1263,286.5643,0,1,3.07,0.184,13.13,0,1.8104338825301205e-05,0.0001007392143373494,4.9758154743975895e-06,9.924914,39.99758959219217,3.3333333333333335,143.28301206896782,127.189,266,0
41,217.50618617962658,1333.4569654236484,1263,286.5643,0,1,3.07,0.184,13.13,0,2.5648765542168674e-05,0.00014096007879518073,7.024073566265061e-05,11.091776,43.96654312676714,3.3333333333333335,71.58614633500886,125.718,269,0
42,231.36376716282535,1365.207199756549,1263,286.5643,0,1,3.07,0.184,13.13,0,4.5779743012048186e-05,0.00020875956506024096,0.000179330078313253,14.600177,58.48473870285141,3.3333333333333335,55.853315850430576,124.67,271,0
43,245.22134814602413,1396.9574340894494,1263,286.5643,0,1,3.07,0.184,13.13,0,1.1741107289156625e-05,0.00022108177084337346,0.00027034565012048193,21.843244,85.78967908555938,25.666666666666668,49.33117720267441,126.931,269,0
44,115.55721581930288,1067.3745689802345,1263,286.5643,0,1,0.9780000000000001,0.25028,15.605599999999999,1,0.00012226767240963854,5.132685518072289e-05,0.00010096426759036144,12.303411,47.8273701545631,23.666666666666668,77.85187028129718,126.697,270,0
45,129.41476019996122,1099.1249399156752,1263,286.5643,0,2,1.15,0.268,15.906000000000002,1,0.00013756643365059486,2.5804381731371323e-06,5.9827258957420165e-05,9.421256,38.00720165877064,1.0,94.99824779689138,125.989,269,0
46,143.27230458061956,1130.875310851116,1263,286.5643,0,1,3.07,0.184,13.13,1,0.00018115952903225804,3.862021935483871e-05,6.43132258064516e-05,9.117396,36.63379022867561,1.3333333333333333,104.05087223558753,124.213,268,0
47,157.12984896127796,1162.625681786557,1263,286.5643,0,3,1.75,0.24175000000000002,15.0385,1,0.0001596596797806216,6.161282716636197e-05,5.0957400457038386e-05,9.596882,35.627932873305255,1.6666666666666667,108.31559334354931,120.103,267,1
48,170.98739334193635,1194.3760527219977,1263,286.5643,0,2,0.7899999999999999,0.28374999999999995,16.4265,1,0.00011681579277306854,5.802111866311456e-05,2.238902336158876e-05,8.694937,34.555192269707305,3.0,104.60456850806449,121.321,266,1
